Date,Close,Predictions
2019-10-04,136.57,134.7621
2019-10-07,135.58,136.1384
2019-10-08,134.14,136.51773
2019-10-09,136.68,135.72264
2019-10-10,137.53,136.58362
2019-10-11,138.11,137.7069
2019-10-14,137.98,138.57188
2019-10-15,139.98,138.78658
2019-10-16,138.83,139.8403
2019-10-17,138.12,139.72528
2019-10-18,135.86,139.01768
2019-10-21,136.87,137.2609
2019-10-22,134.83,136.8755
2019-10-23,135.7,135.8226
2019-10-24,138.36,135.83194
2019-10-25,139.15,137.61673
2019-10-28,142.57,139.23915
2019-10-29,141.22,141.90443
2019-10-30,142.98,142.42413
2019-10-31,141.76,143.18045
2019-11-01,142.1,142.70744
2019-11-04,142.92,142.38538
2019-11-05,142.83,142.6769
2019-11-06,142.44,142.85802
2019-11-07,142.64,142.71948
2019-11-08,144.32,142.74062
2019-11-11,144.47,143.76793
2019-11-12,145.41,144.51132
2019-11-13,145.65,145.35059
2019-11-14,146.39,145.85754
2019-11-15,148.28,146.4211
2019-11-18,148.65,147.72978
2019-11-19,148.7,148.61386
2019-11-20,148.44,148.92451
2019-11-21,148.3,148.76125
2019-11-22,148.41,148.4883
2019-11-25,150.04,148.40306
2019-11-26,150.83,149.35965
2019-11-27,151.12,150.44923
2019-11-29,150.19,151.14731
2019-12-02,148.37,150.84262
2019-12-03,148.13,149.46275
2019-12-04,148.67,148.52505
2019-12-05,148.75,148.53365
2019-12-06,150.55,148.82596
2019-12-09,150.17,150.126
2019-12-10,149.94,150.69267
2019-12-11,150.5,150.69446
2019-12-12,152.03,150.88719
2019-12-13,153.31,151.85397
2019-12-16,154.3,153.12685
2019-12-17,153.47,154.28214
2019-12-18,153.15,154.23422
2019-12-19,154.48,153.75728
2019-12-20,156.17,154.18787
2019-12-23,156.17,155.49414
2019-12-24,156.14,156.22528
2019-12-26,157.42,156.42752
2019-12-27,157.71,157.13823
2019-12-30,156.35,157.67497
2019-12-31,156.46,157.0785
2020-01-02,159.35,156.68018
2020-01-03,157.37,158.22173
2020-01-06,157.77,158.09866
2020-01-07,156.34,158.03647
2020-01-08,158.83,157.17389
2020-01-09,160.81,158.1327
2020-01-10,160.07,160.03178
2020-01-13,161.99,160.61938
2020-01-14,160.85,161.75677
2020-01-15,161.89,161.60739
2020-01-16,164.86,161.88272
2020-01-17,165.78,163.75159
2020-01-21,165.19,165.34253
2020-01-22,164.39,165.61574
2020-01-23,165.4,164.97906
2020-01-24,163.74,165.07744
2020-01-27,161.0,164.25285
2020-01-28,164.15,162.17873
2020-01-29,166.71,162.9773
2020-01-30,171.42,165.38785
2020-01-31,168.89,169.56967
2020-02-03,173.0,170.19318
2020-02-04,178.7,172.19173
2020-02-05,178.48,176.42778
2020-02-06,182.18,178.34505
2020-02-07,182.44,180.79616
2020-02-10,187.21,181.85966
2020-02-11,182.98,184.72449
2020-02-12,183.25,183.60158
2020-02-13,182.26,182.55292
2020-02-14,183.89,181.46167
2020-02-18,185.75,182.03442
2020-02-19,186.31,183.78993
2020-02-20,183.46,185.21367
2020-02-21,177.66,184.1683
2020-02-24,170.0,179.91304
2020-02-25,167.2,173.07431
2020-02-26,169.29,168.25082
2020-02-27,157.36,168.1028
2020-02-28,161.17,162.18362
2020-03-02,171.89,161.41817
2020-03-03,163.66,168.53925
2020-03-04,169.67,168.26526
2020-03-05,165.41,170.55664
2020-03-06,160.73,169.1684
2020-03-09,149.84,165.01949
2020-03-10,160.09,156.18015
2020-03-11,152.83,157.60616
2020-03-12,138.34,155.79346
2020-03-13,158.01,146.35724
2020-03-16,134.72,152.6579
2020-03-17,145.81,144.58453
2020-03-18,139.67,145.45135
2020-03-19,141.97,143.73042
2020-03-20,136.64,144.06369
2020-03-23,135.28,141.47505
2020-03-24,147.57,139.05829
2020-03-25,146.16,145.06323
2020-03-26,155.3,148.28056
2020-03-27,148.92,154.43037
2020-03-30,159.4,153.59064
2020-03-31,156.89,157.73015
2020-04-01,151.32,158.48128
2020-04-02,154.46,154.75395
2020-04-03,153.03,153.91783
2020-04-06,164.41,153.09636
2020-04-07,162.64,159.44826
2020-04-08,164.27,162.4732
2020-04-09,164.28,164.23209
2020-04-13,164.65,164.6116
2020-04-14,172.8,164.58662
2020-04-15,170.99,169.13383
2020-04-16,176.12,170.73817
2020-04-17,177.67,173.9032
2020-04-20,174.15,176.27853
2020-04-21,166.95,174.99622
2020-04-22,172.62,169.48395
2020-04-23,170.53,169.68077
2020-04-24,173.65,169.58138
2020-04-27,173.15,171.619
2020-04-28,168.93,172.73103
2020-04-29,176.51,170.69885
2020-04-30,178.28,173.80745
2020-05-01,173.67,177.01703
2020-05-04,177.91,175.73862
2020-05-05,179.82,176.87091
2020-05-06,181.59,178.73886
2020-05-07,182.65,180.67265
2020-05-08,183.72,182.07419
2020-05-11,185.77,183.12692
2020-05-12,181.56,184.63023
2020-05-13,178.82,182.76888
2020-05-14,179.59,179.76216
2020-05-15,182.21,178.74692
2020-05-18,183.95,180.32083
2020-05-19,182.68,182.64151
2020-05-20,185.21,183.1417
2020-05-21,182.99,184.5964
2020-05-22,183.07,183.9947
2020-05-26,181.13,183.42046
2020-05-27,181.37,181.97676
2020-05-28,180.96,181.38905
2020-05-29,182.81,181.09155
2020-06-01,182.39,182.21376
2020-06-02,184.46,182.74696
2020-06-03,184.91,184.16206
2020-06-04,182.48,185.1524
2020-06-05,186.75,184.02011
2020-06-08,187.91,185.67577
2020-06-09,189.34,187.4444
2020-06-10,196.37,189.04936
2020-06-11,185.82,193.80524
2020-06-12,187.29,189.91504
2020-06-15,188.48,187.64944
2020-06-16,193.1,187.49614
2020-06-17,193.77,190.62103
2020-06-18,195.85,192.98624
2020-06-19,194.68,195.16917
2020-06-22,200.09,195.28487
2020-06-23,201.42,198.122
2020-06-24,197.36,200.40291
2020-06-25,199.86,198.76591
2020-06-26,195.86,198.82993
2020-06-29,197.96,196.62633
2020-06-30,203.02,196.66177
2020-07-01,204.21,200.14119
2020-07-02,205.76,202.97961
2020-07-06,210.19,205.0552
2020-07-07,207.75,208.36328
2020-07-08,212.32,208.32051
2020-07-09,213.8,210.3693
2020-07-10,213.15,212.25232
2020-07-13,206.57,212.53845
2020-07-14,207.85,208.3552
2020-07-15,207.54,206.6476
2020-07-16,203.43,206.19392
2020-07-17,202.39,203.95964
2020-07-20,211.09,202.38257
2020-07-21,208.25,207.31525
2020-07-22,211.24,208.82716
2020-07-23,202.05,210.86195
2020-07-24,200.81,206.09993
2020-07-27,203.36,202.22491
2020-07-28,201.53,202.23753
2020-07-29,203.57,201.89761
2020-07-30,203.41,203.16403
2020-07-31,204.52,203.94876
2020-08-03,216.02,204.92752
2020-08-04,212.78,212.26736
2020-08-05,212.43,214.20792
2020-08-06,215.83,213.80606
2020-08-07,211.97,214.95453
2020-08-10,207.75,213.07567
2020-08-11,202.89,209.16785
2020-08-12,208.69,204.25267
2020-08-13,208.2,205.74567
2020-08-14,208.4,207.32178
2020-08-17,209.77,208.43527
2020-08-18,210.98,209.77223
2020-08-19,209.7,211.09169
2020-08-20,214.58,210.79915
2020-08-21,213.02,213.2921
2020-08-24,213.69,213.68155
2020-08-25,216.47,213.8516
2020-08-26,221.15,215.43703
2020-08-27,226.58,219.04991
2020-08-28,228.91,224.04694
2020-08-31,225.53,227.58379
